["Collections", "Objects and Classes", "Interfaces, Lambda Expressions, and Inner Classes"]	["Collections", "Objects and Classes", "Exceptions, Assertions, and Logging"]
["Generic Programming", "Fundamental Programming Structures in Java", "Graphical User Interface Programming"]	["Fundamental Programming Structures in Java", "Generic Programming", "Collections"]
["Concurrency", "Exceptions, Assertions, and Logging", "Collections"]	["Exceptions, Assertions, and Logging", "Concurrency", "User Interface Components with Swing"]
["Fundamental Programming Structures in Java", "Objects and Classes", "Graphical User Interface Programming"]	["Fundamental Programming Structures in Java", "Objects and Classes", "Concurrency"]
["User Interface Components with Swing", "Fundamental Programming Structures in Java", "Graphical User Interface Programming"]	["User Interface Components with Swing", "Fundamental Programming Structures in Java", "Concurrency"]
["Graphical User Interface Programming", "Inheritance", "Objects and Classes"]	["Graphical User Interface Programming", "Fundamental Programming Structures in Java", "Objects and Classes"]
["Fundamental Programming Structures in Java", "User Interface Components with Swing", "Graphical User Interface Programming"]	["Fundamental Programming Structures in Java", "Collections", "Graphical User Interface Programming"]
["Objects and Classes", "Interfaces, Lambda Expressions, and Inner Classes", "Generic Programming"]	["Objects and Classes", "Fundamental Programming Structures in Java", "Interfaces, Lambda Expressions, and Inner Classes"]
["Fundamental Programming Structures in Java", "Collections", "Inheritance"]	["Fundamental Programming Structures in Java", "Collections", "Inheritance"]
["Concurrency", "Exceptions, Assertions, and Logging", "Interfaces, Lambda Expressions, and Inner Classes"]	["Concurrency", "Exceptions, Assertions, and Logging", "Objects and Classes"]
["Generic Programming", "Exceptions, Assertions, and Logging", "Interfaces, Lambda Expressions, and Inner Classes"]	["Interfaces, Lambda Expressions, and Inner Classes", "Exceptions, Assertions, and Logging", "Generic Programming"]
["Collections", "Fundamental Programming Structures in Java", "Exceptions, Assertions, and Logging"]	["Exceptions, Assertions, and Logging", "Fundamental Programming Structures in Java", "Inheritance"]
["Collections", "Fundamental Programming Structures in Java", "Exceptions, Assertions, and Logging"]	["Collections", "Objects and Classes", "Fundamental Programming Structures in Java"]
["Objects and Classes", "Generic Programming", "Fundamental Programming Structures in Java"]	["Fundamental Programming Structures in Java", "Collections", "Inheritance"]
["Collections", "Fundamental Programming Structures in Java", "Graphical User Interface Programming"]	["Collections", "Fundamental Programming Structures in Java", "Graphical User Interface Programming"]
["Objects and Classes", "Fundamental Programming Structures in Java", "Concurrency"]	["Fundamental Programming Structures in Java", "Objects and Classes", "Exceptions, Assertions, and Logging"]
["Fundamental Programming Structures in Java", "Collections", "Inheritance"]	["Fundamental Programming Structures in Java", "Inheritance", "Collections"]
["Fundamental Programming Structures in Java", "Objects and Classes", "Inheritance"]	["Concurrency", "Collections", "Exceptions, Assertions, and Logging"]
["Concurrency", "Collections", "Interfaces, Lambda Expressions, and Inner Classes"]	["Concurrency", "Graphical User Interface Programming", "Fundamental Programming Structures in Java"]
["Collections", "Fundamental Programming Structures in Java", "Inheritance"]	["Fundamental Programming Structures in Java", "Inheritance", "Objects and Classes"]
["Objects and Classes", "Exceptions, Assertions, and Logging", "Collections"]	["Objects and Classes", "User Interface Components with Swing", "Collections"]
["Objects and Classes", "User Interface Components with Swing", "Fundamental Programming Structures in Java"]	["Fundamental Programming Structures in Java", "Objects and Classes", "Graphical User Interface Programming"]
["Concurrency", "Objects and Classes", "Exceptions, Assertions, and Logging"]	["Exceptions, Assertions, and Logging", "Concurrency", "Objects and Classes"]
["Graphical User Interface Programming", "Objects and Classes", "Collections"]	["Objects and Classes", "Graphical User Interface Programming", "Fundamental Programming Structures in Java"]
["Fundamental Programming Structures in Java", "Inheritance", "Objects and Classes"]	["Collections", "Fundamental Programming Structures in Java", "Inheritance"]
["Fundamental Programming Structures in Java", "Concurrency", "Exceptions, Assertions, and Logging"]	["Concurrency", "Exceptions, Assertions, and Logging", "User Interface Components with Swing"]
["Collections", "Inheritance", "Generic Programming"]	["Collections", "Inheritance", "Generic Programming"]
["Fundamental Programming Structures in Java", "Inheritance", "Collections"]	["Fundamental Programming Structures in Java", "Inheritance", "Collections"]
["Fundamental Programming Structures in Java", "Inheritance", "Collections"]	["Fundamental Programming Structures in Java", "Inheritance", "Generic Programming"]
["Concurrency", "Collections", "Exceptions, Assertions, and Logging"]	["Collections", "Concurrency", "Objects and Classes"]
["Fundamental Programming Structures in Java", "Objects and Classes", "Inheritance"]	["Fundamental Programming Structures in Java", "Inheritance", "Interfaces, Lambda Expressions, and Inner Classes"]
["Fundamental Programming Structures in Java", "Concurrency", "Objects and Classes"]	["Fundamental Programming Structures in Java", "Objects and Classes", "Concurrency"]
["Collections", "Inheritance", "Fundamental Programming Structures in Java"]	["Fundamental Programming Structures in Java", "Inheritance", "Collections"]
["Generic Programming", "Inheritance", "Interfaces, Lambda Expressions, and Inner Classes"]	["Generic Programming", "Inheritance", "Collections"]
["Fundamental Programming Structures in Java", "Collections", "Exceptions, Assertions, and Logging"]	["Fundamental Programming Structures in Java", "Concurrency", "Collections"]
["Exceptions, Assertions, and Logging", "Fundamental Programming Structures in Java", "Concurrency"]	["Concurrency", "Exceptions, Assertions, and Logging", "Fundamental Programming Structures in Java"]
["Collections", "Inheritance", "Fundamental Programming Structures in Java"]	["Collections", "Inheritance", "Fundamental Programming Structures in Java"]
["User Interface Components with Swing", "Graphical User Interface Programming", "Fundamental Programming Structures in Java"]	["User Interface Components with Swing", "Interfaces, Lambda Expressions, and Inner Classes", "Objects and Classes"]
["Objects and Classes", "Generic Programming", "Collections"]	["Fundamental Programming Structures in Java", "Objects and Classes", "Inheritance"]
["Collections", "Graphical User Interface Programming", "Concurrency"]	["Objects and Classes", "Inheritance", "Concurrency"]
["Generic Programming", "Inheritance", "Collections"]	["Fundamental Programming Structures in Java", "Inheritance", "Generic Programming"]
["Fundamental Programming Structures in Java", "Inheritance", "Objects and Classes"]	["Fundamental Programming Structures in Java", "Inheritance", "User Interface Components with Swing"]
["User Interface Components with Swing", "Graphical User Interface Programming", "Fundamental Programming Structures in Java"]	["User Interface Components with Swing", "Graphical User Interface Programming", "Fundamental Programming Structures in Java"]
["Fundamental Programming Structures in Java", "Exceptions, Assertions, and Logging", "Inheritance"]	["Fundamental Programming Structures in Java", "Inheritance", "Generic Programming"]
["Fundamental Programming Structures in Java", "Inheritance", "Exceptions, Assertions, and Logging"]	["Fundamental Programming Structures in Java", "Inheritance", "Exceptions, Assertions, and Logging"]
["Collections", "Inheritance", "Fundamental Programming Structures in Java"]	["Collections", "Inheritance", "Generic Programming"]
["Fundamental Programming Structures in Java", "Inheritance", "Exceptions, Assertions, and Logging"]	["Fundamental Programming Structures in Java", "Collections", "Inheritance"]
["Exceptions, Assertions, and Logging", "Interfaces, Lambda Expressions, and Inner Classes", "Generic Programming"]	["Objects and Classes", "Fundamental Programming Structures in Java", "Inheritance"]
["Objects and Classes", "Graphical User Interface Programming", "User Interface Components with Swing"]	["Fundamental Programming Structures in Java", "Objects and Classes", "Concurrency"]
["Fundamental Programming Structures in Java", "Objects and Classes", "Graphical User Interface Programming"]	["Concurrency", "Objects and Classes", "Fundamental Programming Structures in Java"]
["Fundamental Programming Structures in Java", "Graphical User Interface Programming", "Objects and Classes"]	["Fundamental Programming Structures in Java", "Graphical User Interface Programming", "User Interface Components with Swing"]
["Fundamental Programming Structures in Java", "Inheritance", "User Interface Components with Swing"]	["Fundamental Programming Structures in Java", "Inheritance", "User Interface Components with Swing"]
["Fundamental Programming Structures in Java", "User Interface Components with Swing", "Graphical User Interface Programming"]	["Fundamental Programming Structures in Java", "Inheritance", "Collections"]
["Generic Programming", "Graphical User Interface Programming", "Interfaces, Lambda Expressions, and Inner Classes"]	["Generic Programming", "User Interface Components with Swing", "Fundamental Programming Structures in Java"]
["Concurrency", "Exceptions, Assertions, and Logging", "Graphical User Interface Programming"]	["Concurrency", "Exceptions, Assertions, and Logging", "Graphical User Interface Programming"]
